round_epochs,val_loss,val_coeff_determination,val_acc,loss,coeff_determination,acc,first_neuron,second_neuron,dropout,hidden_layers
230,0.005155170911594349,0.09128382977317362,0.0019607842698985455,0.006203558084656711,-0.16086967151705958,0.0,64,64,0.5,2
458,0.004216745824498289,0.2637881882050458,0.0019607842698985455,0.004692689171295707,-0.04608538020558718,0.0,128,64,0.5,1
375,0.009693599105173466,-0.32570114790224564,0.0019607842698985455,0.013658649264639165,-1.7833913975403088,0.0,32,64,0.8,2
888,0.0035978041169251883,0.17761902481901878,0.0019607842698985455,0.0032746230346002,0.05695525538019773,0.0,32,32,0.1,1
678,0.00400872100327237,0.2085484231219572,0.0019607842698985455,0.0036915813909233117,0.036991886731957184,0.0,32,32,0.1,1
343,0.005600686641592605,0.09545707235149309,0.0019607842698985455,0.009874435110377664,-0.7073385234640426,0.0,128,16,0.7,1
278,0.0066472572347551,-0.10518178752824373,0.0019607842698985455,0.009723369564328874,-0.28527763210424856,0.0,32,32,0.6,1
509,0.0050061987804285455,-1.227758580563115,0.0019607842698985455,0.005735032585206903,-2.7645400752540397,0.0,32,64,0.4,1
469,0.005358515827752212,0.09787367839439243,0.0019607842698985455,0.008467623995257025,-1.1160673534168917,0.0,128,64,0.8,1
51,0.019793991035982676,-0.15429232868493772,0.0019607842698985455,0.024473139530971272,-1.6731571449952967,0.0,64,16,0.9,1
290,0.00967454552358272,-0.2634778443504782,0.0019607842698985455,0.015632542898925413,-1.3058491554580818,0.0,64,16,0.8,1
532,0.004937162157148123,0.12109450499216716,0.0019607842698985455,0.0060236215466210824,-0.38342458961390646,0.0,32,32,0.4,1
432,0.0038722737820125093,-0.09287481681973327,0.0019607842698985455,0.004216259535198577,-0.2889882506442671,0.0,128,16,0.2,2
374,0.004371149465441704,0.20560391743977866,0.0019607842698985455,0.003523426302591292,0.09088077815640874,0.0,32,64,0.1,2
765,0.004665671546450432,-0.0567474785973044,0.0019607842698985455,0.007448962701781958,-0.5720783341832522,0.0,128,32,0.7,1
479,0.006041359046802801,0.07213032128764134,0.0019607842698985455,0.007919835145859158,-0.253926631783237,0.0,32,32,0.5,1
1173,0.0036399499330596594,-0.027680850496479108,0.0019607842698985455,0.0025144277625725048,-0.2746495319013836,0.0,32,64,0.0,1
547,0.009542337363111037,-0.19853823325213263,0.0019607842698985455,0.01622918462615554,-2.0022167498324097,0.0,128,32,0.8,2
430,0.007108413577810222,0.10627321869719263,0.0019607842698985455,0.010651631163386237,-1.9081408656945749,0.0,64,64,0.8,1
628,0.0038920770874064344,-0.1717820261038986,0.0019607842698985455,0.004832451673960235,-0.4441567549184591,0.0,64,16,0.3,1
304,0.01258178555644026,-0.33098987270804014,0.0019607842698985455,0.017582944899547,-1.042514473450284,0.0,32,16,0.7,2
1028,0.0035592957363263064,-0.22765671271903842,0.0019607842698985455,0.0037637047328743616,-0.6945195077848034,0.0,64,16,0.2,1
386,0.011224389185800272,-0.3963085646722831,0.0019607842698985455,0.018760733259450487,-2.068365766220734,0.0,128,16,0.8,2
384,0.01897594250519486,-0.3727859609267291,0.0019607842698985455,0.02013679437276696,-4.325003888426709,0.0,128,64,0.9,2
363,0.008261223597561611,-0.027425275129430434,0.0019607842698985455,0.013286203192938276,-1.6398407681649472,0.0,64,32,0.8,1
440,0.005883199518875164,0.011847309037750843,0.0019607842698985455,0.009081162915353765,-0.5230108158929008,0.0,64,32,0.6,2
381,0.006923701221525085,-0.1442655605428359,0.0019607842698985455,0.009286080166196623,-1.6473993313412707,0.0,64,64,0.7,2
240,0.005907946065360424,0.1104518455617568,0.0019607842698985455,0.006212706826314205,-0.3096380744661604,0.0,32,64,0.4,2
610,0.019165186138421882,-0.5798986308714923,0.0019607842698985455,0.02104064720455839,-3.7190336640141592,0.0,128,32,0.9,2
830,0.003187397522303988,0.28815441973069134,0.0019607842698985455,0.0026383161047833555,0.14811689913773737,0.0,128,16,0.1,1
661,0.0032428843882300108,0.1880777828833636,0.0019607842698985455,0.0031202672295929756,-0.059946830032252464,0.0,128,64,0.3,2
504,0.003762268716944199,0.11714178206873875,0.0019607842698985455,0.003376071881346342,-0.04062186719990578,0.0,64,16,0.1,2
248,0.016494467142311967,-0.2156461991515814,0.0019607842698985455,0.01962738631277525,-2.596197815502391,0.0,64,64,0.9,1
531,0.004643240980073518,-0.14859959424710742,0.0019607842698985455,0.007004073887531247,-0.7087433939220524,0.0,64,16,0.5,1
519,0.004846648367888787,0.02190728514802222,0.0019607842698985455,0.0064338854936679376,-0.283617464434199,0.0,64,32,0.5,2
83,0.014939582450132743,-0.13478171357921526,0.0019607842698985455,0.014711618376504473,-0.8539059763195134,0.0,64,64,0.7,2
